,Data,Temperatura Mínima,Temperatura Máxima,"('Data', 'Temperatura mínima', 'Temperatura máxima')"
142,1961-05-12,23.3,31.8,1961-05-12
143,1961-05-13,22.9,27.4,1961-05-13
144,1961-05-14,21.7,30.0,1961-05-14
145,1961-05-15,22.3,32.0,1961-05-15
146,1961-05-16,22.5,32.0,1961-05-16
147,1961-05-17,23.0,31.1,1961-05-17
148,1961-05-18,23.4,31.4,1961-05-18
149,1961-05-19,23.3,28.7,1961-05-19
150,1961-05-20,22.7,31.0,1961-05-20
151,1961-05-21,23.1,30.4,1961-05-21
152,1961-05-22,22.9,28.6,1961-05-22
153,1961-05-23,23.0,31.0,1961-05-23
154,1961-05-24,22.7,32.4,1961-05-24
155,1961-05-25,23.7,31.7,1961-05-25
156,1961-05-26,23.3,30.6,1961-05-26
157,1961-05-27,22.7,29.8,1961-05-27
158,1961-05-28,22.6,30.7,1961-05-28
159,1961-05-29,23.3,30.4,1961-05-29
160,1961-05-30,22.1,31.7,1961-05-30
161,1961-05-31,22.3,33.3,1961-05-31
162,1961-06-01,22.5,32.8,1961-06-01
163,1961-06-02,23.0,32.0,1961-06-02
164,1961-06-03,22.8,31.9,1961-06-03
165,1961-06-04,23.0,32.2,1961-06-04
166,1961-06-05,23.3,32.7,1961-06-05
167,1961-06-06,23.3,31.7,1961-06-06
168,1961-06-07,23.5,32.4,1961-06-07
169,1961-06-08,22.9,31.6,1961-06-08
170,1961-06-09,23.5,32.5,1961-06-09
171,1961-06-10,22.4,31.8,1961-06-10
172,1961-06-11,22.7,32.0,1961-06-11
173,1961-06-12,23.1,31.5,1961-06-12
174,1961-06-13,23.7,29.4,1961-06-13
175,1961-06-14,22.0,27.1,1961-06-14
176,1961-06-15,22.0,28.4,1961-06-15
177,1961-06-16,22.3,28.2,1961-06-16
178,1961-06-17,21.9,25.7,1961-06-17
179,1961-06-18,22.0,27.5,1961-06-18
180,1961-06-19,22.0,30.5,1961-06-19
181,1961-06-20,21.5,28.6,1961-06-20
182,1961-06-21,21.7,31.5,1961-06-21
183,1961-06-22,19.5,32.5,1961-06-22
184,1961-06-23,21.0,31.0,1961-06-23
185,1961-06-24,22.5,30.7,1961-06-24
186,1961-06-25,21.3,32.1,1961-06-25
187,1961-06-26,21.5,30.4,1961-06-26
188,1961-06-27,21.7,31.6,1961-06-27
189,1961-06-28,20.3,32.3,1961-06-28
190,1961-06-29,22.0,31.1,1961-06-29
191,1961-06-30,22.7,31.5,1961-06-30
192,1961-07-01,22.8,32.2,1961-07-01
193,1961-07-02,21.9,32.6,1961-07-02
194,1961-07-03,21.8,32.5,1961-07-03
195,1961-07-04,22.1,32.6,1961-07-04
196,1961-07-05,21.3,32.2,1961-07-05
197,1961-07-06,21.7,32.7,1961-07-06
198,1961-07-07,21.1,33.5,1961-07-07
199,1961-07-08,21.2,32.6,1961-07-08
200,1961-07-09,23.0,32.0,1961-07-09
201,1961-07-10,23.3,33.1,1961-07-10
202,1961-07-11,21.3,32.3,1961-07-11
203,1961-07-12,21.9,28.7,1961-07-12
204,1961-07-13,22.0,30.6,1961-07-13
205,1961-07-14,20.8,31.9,1961-07-14
206,1961-07-15,20.8,31.8,1961-07-15
207,1961-07-16,21.2,32.7,1961-07-16
208,1961-07-17,21.9,33.0,1961-07-17
209,1961-07-18,22.1,33.4,1961-07-18
210,1961-07-19,21.0,33.7,1961-07-19
211,1961-07-20,19.3,34.3,1961-07-20
212,1961-07-21,21.3,31.6,1961-07-21
213,1961-07-22,22.5,31.3,1961-07-22
214,1961-07-23,21.9,33.0,1961-07-23
215,1961-07-24,22.3,32.3,1961-07-24
216,1961-07-25,21.4,32.8,1961-07-25
217,1961-07-26,22.0,32.4,1961-07-26
218,1961-07-27,22.5,33.0,1961-07-27
219,1961-07-28,23.0,32.0,1961-07-28
220,1961-07-29,21.9,31.2,1961-07-29
221,1961-07-30,22.7,32.2,1961-07-30
222,1961-07-31,21.2,32.7,1961-07-31
223,1961-08-01,21.8,33.3,1961-08-01
224,1961-08-02,21.7,33.8,1961-08-02
225,1961-08-03,22.7,34.8,1961-08-03
226,1961-08-04,22.9,34.4,1961-08-04
227,1961-08-05,22.7,33.3,1961-08-05
228,1961-08-06,22.7,33.7,1961-08-06
229,1961-08-07,22.5,33.7,1961-08-07
230,1961-08-08,22.5,35.0,1961-08-08
231,1961-08-09,22.7,35.0,1961-08-09
232,1961-08-10,23.1,34.3,1961-08-10
233,1961-08-11,23.2,34.5,1961-08-11
234,1961-08-12,22.2,34.7,1961-08-12
235,1961-08-13,23.1,34.3,1961-08-13
236,1961-08-14,21.8,34.4,1961-08-14
237,1961-08-15,21.8,34.3,1961-08-15
238,1961-08-16,21.2,35.2,1961-08-16
239,1961-08-17,22.0,35.6,1961-08-17
240,1961-08-18,23.4,34.7,1961-08-18
241,1961-08-19,22.2,29.2,1961-08-19
242,1961-08-20,22.2,33.7,1961-08-20
243,1961-08-21,21.7,34.6,1961-08-21
244,1961-08-22,22.2,35.0,1961-08-22
245,1961-08-23,24.2,35.2,1961-08-23
246,1961-08-24,21.3,34.5,1961-08-24
247,1961-08-25,21.3,34.4,1961-08-25
248,1961-08-26,22.7,34.9,1961-08-26
249,1961-08-27,23.9,35.6,1961-08-27
250,1961-08-28,23.0,35.7,1961-08-28
251,1961-08-29,22.1,35.5,1961-08-29
252,1961-08-30,22.5,35.5,1961-08-30
253,1961-08-31,20.7,35.8,1961-08-31
254,1961-09-01,21.3,35.2,1961-09-01
255,1961-09-02,22.1,35.8,1961-09-02
256,1961-09-03,22.8,31.3,1961-09-03
257,1961-09-04,21.8,34.0,1961-09-04
258,1961-09-05,22.7,35.0,1961-09-05
259,1961-09-06,22.9,35.1,1961-09-06
260,1961-09-07,22.7,34.8,1961-09-07
261,1961-09-08,22.8,35.2,1961-09-08
262,1961-09-09,24.5,34.6,1961-09-09
263,1961-09-10,23.2,33.9,1961-09-10
264,1961-09-11,22.5,34.5,1961-09-11
265,1961-09-12,22.1,34.8,1961-09-12
266,1961-09-13,21.7,35.4,1961-09-13
267,1961-09-14,22.4,36.7,1961-09-14
268,1961-09-15,22.3,36.7,1961-09-15
269,1961-09-16,23.0,36.0,1961-09-16
270,1961-09-17,23.0,35.7,1961-09-17
271,1961-09-18,23.1,31.7,1961-09-18
272,1961-09-19,22.5,35.0,1961-09-19
273,1961-09-20,22.2,33.2,1961-09-20
274,1961-09-21,21.8,34.3,1961-09-21
275,1961-09-22,23.2,35.0,1961-09-22
276,1961-09-23,20.7,30.4,1961-09-23
277,1961-09-24,23.2,32.8,1961-09-24
278,1961-09-25,22.0,32.1,1961-09-25
279,1961-09-26,22.8,33.1,1961-09-26
280,1961-09-27,23.3,33.8,1961-09-27
281,1961-09-28,22.5,34.3,1961-09-28
282,1961-09-29,23.3,34.3,1961-09-29
283,1961-09-30,22.9,31.2,1961-09-30
284,1961-10-01,21.8,32.0,1961-10-01
285,1961-10-02,23.5,33.0,1961-10-02
286,1961-10-03,22.3,33.8,1961-10-03
287,1961-10-04,22.2,31.2,1961-10-04
288,1961-10-05,21.0,29.4,1961-10-05
289,1961-10-06,20.8,31.6,1961-10-06
290,1961-10-07,21.8,27.6,1961-10-07
291,1961-10-08,21.5,29.8,1961-10-08
292,1961-10-09,21.0,30.0,1961-10-09
293,1961-10-10,21.7,32.7,1961-10-10
294,1961-10-11,22.0,26.0,1961-10-11
295,1961-10-12,22.1,32.7,1961-10-12
296,1961-10-13,23.0,34.6,1961-10-13
297,1961-10-14,23.6,31.4,1961-10-14
298,1961-10-15,22.8,34.3,1961-10-15
299,1961-10-16,22.8,34.6,1961-10-16
300,1961-10-17,23.9,34.3,1961-10-17
301,1961-10-18,23.0,34.7,1961-10-18
302,1961-10-19,23.2,33.3,1961-10-19
303,1961-10-20,23.9,31.9,1961-10-20
304,1961-10-21,22.1,32.5,1961-10-21
305,1961-10-22,22.3,31.3,1961-10-22
306,1961-10-23,21.8,28.4,1961-10-23
307,1961-10-24,22.9,31.3,1961-10-24
308,1961-10-25,22.8,32.8,1961-10-25
309,1961-10-26,22.0,33.3,1961-10-26
310,1961-10-27,23.2,33.0,1961-10-27
311,1961-10-28,24.0,30.2,1961-10-28
312,1961-10-29,22.6,31.8,1961-10-29
313,1961-10-30,22.9,32.7,1961-10-30
314,1961-10-31,22.3,30.7,1961-10-31
315,1961-11-01,23.0,33.2,1961-11-01
316,1961-11-02,23.0,34.3,1961-11-02
317,1961-11-03,23.2,28.2,1961-11-03
318,1961-11-04,22.2,30.0,1961-11-04
319,1961-11-05,21.0,31.0,1961-11-05
320,1961-11-06,21.7,33.2,1961-11-06
321,1961-11-07,23.4,30.5,1961-11-07
322,1961-11-08,22.2,31.9,1961-11-08
323,1961-11-09,23.1,32.9,1961-11-09
324,1961-11-10,22.8,33.7,1961-11-10
325,1961-11-11,22.7,31.8,1961-11-11
326,1961-11-12,21.6,31.6,1961-11-12
327,1961-11-13,22.3,30.4,1961-11-13
328,1961-11-14,21.7,32.0,1961-11-14
329,1961-11-15,23.1,32.2,1961-11-15
330,1961-11-16,23.1,32.3,1961-11-16
331,1961-11-17,22.5,34.0,1961-11-17
332,1961-11-18,21.8,30.7,1961-11-18
333,1961-11-19,21.2,32.5,1961-11-19
334,1961-11-20,22.7,33.6,1961-11-20
335,1961-11-21,22.1,34.9,1961-11-21
336,1961-11-22,22.4,33.6,1961-11-22
337,1961-11-23,22.3,33.2,1961-11-23
338,1961-11-24,22.5,34.4,1961-11-24
339,1961-11-25,23.2,34.3,1961-11-25
340,1961-11-26,22.0,32.2,1961-11-26
341,1961-11-27,22.1,34.1,1961-11-27
342,1961-11-28,22.5,33.7,1961-11-28
343,1961-11-29,21.5,33.4,1961-11-29
344,1961-11-30,23.0,33.5,1961-11-30
345,1961-12-01,22.3,33.9,1961-12-01
346,1961-12-02,22.8,34.5,1961-12-02
347,1961-12-03,23.0,34.7,1961-12-03
348,1961-12-04,24.4,31.6,1961-12-04
349,1961-12-05,21.8,28.0,1961-12-05
350,1961-12-06,23.2,27.6,1961-12-06
351,1961-12-07,22.5,30.5,1961-12-07
352,1961-12-08,22.2,31.8,1961-12-08
353,1961-12-09,22.3,30.6,1961-12-09
354,1961-12-10,22.2,27.1,1961-12-10
355,1961-12-11,23.1,28.8,1961-12-11
356,1961-12-12,22.1,27.4,1961-12-12
357,1961-12-13,20.5,30.5,1961-12-13
358,1961-12-14,22.3,32.0,1961-12-14
359,1961-12-15,21.8,31.3,1961-12-15
360,1961-12-16,21.4,29.2,1961-12-16
361,1961-12-17,22.0,30.6,1961-12-17
362,1961-12-18,22.4,30.6,1961-12-18
363,1961-12-19,21.8,31.5,1961-12-19
