,Data,Temperatura Mínima,Temperatura Máxima,"('Data', 'Temperatura mínima', 'Temperatura máxima')"
5220,1975-04-07,23.4,27.6,1975-04-07
5221,1975-04-08,24.0,29.3,1975-04-08
5222,1975-04-09,24.0,32.0,1975-04-09
5223,1975-04-10,23.3,29.7,1975-04-10
5224,1975-04-11,23.1,30.7,1975-04-11
5225,1975-04-12,23.5,30.6,1975-04-12
5226,1975-04-13,21.8,28.5,1975-04-13
5227,1975-04-14,22.9,28.8,1975-04-14
5228,1975-04-15,24.0,31.1,1975-04-15
5229,1975-04-16,23.6,30.3,1975-04-16
5230,1975-04-17,22.7,25.8,1975-04-17
5231,1975-04-18,22.0,27.0,1975-04-18
5232,1975-04-19,22.2,31.2,1975-04-19
5233,1975-04-20,23.0,29.7,1975-04-20
5234,1975-04-21,23.1,29.9,1975-04-21
5235,1975-04-22,23.8,31.6,1975-04-22
5236,1975-04-23,24.5,32.3,1975-04-23
5237,1975-04-24,23.9,31.5,1975-04-24
5238,1975-04-25,23.5,31.9,1975-04-25
5239,1975-04-26,23.7,30.2,1975-04-26
5240,1975-04-27,23.2,30.5,1975-04-27
5241,1975-04-28,22.8,29.3,1975-04-28
5242,1975-04-29,23.2,32.1,1975-04-29
5243,1975-04-30,23.7,29.5,1975-04-30
5244,1975-05-01,22.0,33.3,1975-05-01
5245,1975-05-02,22.4,28.9,1975-05-02
5246,1975-05-03,22.5,29.0,1975-05-03
5247,1975-05-04,23.0,29.5,1975-05-04
5248,1975-05-05,22.0,29.7,1975-05-05
5249,1975-05-06,23.5,31.8,1975-05-06
5250,1975-05-07,23.0,32.0,1975-05-07
5251,1975-05-08,23.6,31.4,1975-05-08
5252,1975-05-09,23.8,31.5,1975-05-09
5253,1975-05-10,23.7,32.2,1975-05-10
5254,1975-05-11,24.2,31.2,1975-05-11
5255,1975-05-12,24.0,30.7,1975-05-12
5256,1975-05-13,24.0,30.7,1975-05-13
5257,1975-05-14,21.6,30.1,1975-05-14
5258,1975-05-15,22.4,30.6,1975-05-15
5259,1975-05-16,23.2,30.1,1975-05-16
5260,1975-05-17,22.9,31.0,1975-05-17
5261,1975-05-18,23.9,32.2,1975-05-18
5262,1975-05-19,22.0,31.2,1975-05-19
5263,1975-05-20,23.3,30.4,1975-05-20
5264,1975-05-21,24.5,30.5,1975-05-21
5265,1975-05-22,23.1,28.4,1975-05-22
5266,1975-05-23,22.3,30.2,1975-05-23
5267,1975-05-24,23.9,29.5,1975-05-24
5268,1975-05-25,22.5,28.0,1975-05-25
5269,1975-05-26,22.2,29.5,1975-05-26
5270,1975-05-27,22.9,30.6,1975-05-27
5271,1975-05-28,24.1,32.1,1975-05-28
5272,1975-05-29,22.7,28.5,1975-05-29
5273,1975-05-30,23.8,31.5,1975-05-30
5274,1975-05-31,24.0,31.7,1975-05-31
5275,1975-06-01,23.8,31.5,1975-06-01
5276,1975-06-02,23.9,31.2,1975-06-02
5277,1975-06-03,23.7,32.4,1975-06-03
5278,1975-06-04,23.3,28.6,1975-06-04
5279,1975-06-05,21.2,29.5,1975-06-05
5280,1975-06-06,22.5,30.5,1975-06-06
5281,1975-06-07,23.7,32.0,1975-06-07
5282,1975-06-08,22.3,30.3,1975-06-08
5283,1975-06-09,21.8,30.4,1975-06-09
5284,1975-06-10,22.8,31.3,1975-06-10
5285,1975-06-11,23.5,32.0,1975-06-11
5286,1975-06-12,23.4,32.3,1975-06-12
5287,1975-06-13,23.1,30.4,1975-06-13
5288,1975-06-14,22.7,31.9,1975-06-14
5289,1975-06-15,22.9,30.7,1975-06-15
5290,1975-06-16,22.3,30.5,1975-06-16
5291,1975-06-17,22.8,30.6,1975-06-17
5292,1975-06-18,21.9,28.5,1975-06-18
5293,1975-06-19,23.0,30.7,1975-06-19
5294,1975-06-20,22.4,28.0,1975-06-20
5295,1975-06-21,22.6,30.8,1975-06-21
5296,1975-06-22,23.9,31.0,1975-06-22
5297,1975-06-23,22.5,31.2,1975-06-23
5298,1975-06-24,24.2,32.1,1975-06-24
5299,1975-06-25,22.5,29.6,1975-06-25
5300,1975-06-26,23.2,31.2,1975-06-26
5301,1975-06-27,23.4,26.8,1975-06-27
5302,1975-06-28,22.9,31.1,1975-06-28
5303,1975-06-29,22.6,30.6,1975-06-29
5304,1975-06-30,23.2,31.0,1975-06-30
5305,1975-07-01,23.0,27.8,1975-07-01
5306,1975-07-02,22.4,28.8,1975-07-02
5307,1975-07-03,21.3,27.2,1975-07-03
5308,1975-07-04,23.0,30.0,1975-07-04
5309,1975-07-05,23.3,30.4,1975-07-05
5310,1975-07-06,22.5,31.3,1975-07-06
5311,1975-07-07,21.7,29.3,1975-07-07
5312,1975-07-08,23.6,30.6,1975-07-08
5313,1975-07-09,22.2,29.7,1975-07-09
5314,1975-07-10,21.2,27.1,1975-07-10
5315,1975-07-11,21.1,29.7,1975-07-11
5316,1975-07-12,21.7,29.7,1975-07-12
5317,1975-07-13,21.8,29.7,1975-07-13
5318,1975-07-14,21.2,30.3,1975-07-14
5319,1975-07-15,22.6,30.9,1975-07-15
5320,1975-07-16,20.8,27.4,1975-07-16
5321,1975-07-17,21.0,30.1,1975-07-17
5322,1975-07-18,17.8,27.2,1975-07-18
5323,1975-07-19,19.4,24.5,1975-07-19
5324,1975-07-20,19.6,28.5,1975-07-20
5325,1975-07-21,19.8,29.8,1975-07-21
5326,1975-07-22,21.0,28.0,1975-07-22
5327,1975-07-23,22.1,30.4,1975-07-23
5328,1975-07-24,22.7,31.6,1975-07-24
5329,1975-07-25,22.8,30.3,1975-07-25
5330,1975-07-26,21.5,31.1,1975-07-26
5331,1975-07-27,22.3,32.2,1975-07-27
5332,1975-07-28,22.8,32.5,1975-07-28
5333,1975-07-29,23.1,31.8,1975-07-29
5334,1975-07-30,22.7,32.3,1975-07-30
5335,1975-07-31,22.5,32.8,1975-07-31
5336,1975-08-01,22.3,33.2,1975-08-01
5337,1975-08-02,23.3,32.3,1975-08-02
5338,1975-08-03,23.6,29.2,1975-08-03
5339,1975-08-04,21.0,32.1,1975-08-04
5340,1975-08-05,22.9,32.1,1975-08-05
5341,1975-08-06,22.0,32.5,1975-08-06
5342,1975-08-07,22.0,33.2,1975-08-07
5343,1975-08-08,22.0,33.8,1975-08-08
5344,1975-08-09,24.3,33.3,1975-08-09
5345,1975-08-10,24.3,34.2,1975-08-10
5346,1975-08-11,22.5,31.3,1975-08-11
5347,1975-08-12,23.2,32.7,1975-08-12
5348,1975-08-13,23.5,32.7,1975-08-13
5349,1975-08-14,24.3,33.5,1975-08-14
5350,1975-08-15,24.0,33.0,1975-08-15
5351,1975-08-16,23.1,32.9,1975-08-16
5352,1975-08-17,23.3,32.7,1975-08-17
5353,1975-08-18,22.8,33.5,1975-08-18
5354,1975-08-19,24.0,32.1,1975-08-19
5355,1975-08-20,23.3,27.6,1975-08-20
5356,1975-08-21,22.1,33.2,1975-08-21
5357,1975-08-22,22.7,32.9,1975-08-22
5358,1975-08-23,22.4,33.0,1975-08-23
5359,1975-08-24,22.5,32.2,1975-08-24
5360,1975-08-25,23.8,29.0,1975-08-25
5361,1975-08-26,21.5,30.2,1975-08-26
5362,1975-08-27,21.5,30.9,1975-08-27
5363,1975-08-28,23.3,28.3,1975-08-28
5364,1975-08-29,21.6,31.3,1975-08-29
5365,1975-08-30,23.3,33.2,1975-08-30
5366,1975-08-31,24.1,33.4,1975-08-31
5367,1975-09-01,23.0,29.9,1975-09-01
5368,1975-09-02,22.9,32.3,1975-09-02
5369,1975-09-03,22.4,30.9,1975-09-03
5370,1975-09-04,22.5,32.8,1975-09-04
5371,1975-09-05,23.3,30.0,1975-09-05
5372,1975-09-06,22.8,31.7,1975-09-06
5373,1975-09-07,23.2,32.5,1975-09-07
5374,1975-09-08,23.2,32.8,1975-09-08
5375,1975-09-09,23.8,33.0,1975-09-09
5376,1975-09-10,23.8,33.7,1975-09-10
5377,1975-09-11,24.1,33.5,1975-09-11
5378,1975-09-12,24.4,33.6,1975-09-12
5379,1975-09-13,23.8,34.0,1975-09-13
5380,1975-09-14,24.4,33.8,1975-09-14
5381,1975-09-15,24.5,33.7,1975-09-15
5382,1975-09-16,24.4,32.9,1975-09-16
5383,1975-09-17,22.5,29.8,1975-09-17
5384,1975-09-18,21.9,33.0,1975-09-18
5385,1975-09-19,23.3,33.0,1975-09-19
5386,1975-09-20,24.0,34.2,1975-09-20
5387,1975-09-21,23.8,33.8,1975-09-21
5388,1975-09-22,24.1,34.2,1975-09-22
5389,1975-09-23,24.7,34.2,1975-09-23
5390,1975-09-24,24.0,33.9,1975-09-24
5391,1975-09-25,24.1,35.0,1975-09-25
5392,1975-09-26,23.3,35.1,1975-09-26
5393,1975-09-27,25.4,35.0,1975-09-27
5394,1975-09-28,24.1,32.2,1975-09-28
5395,1975-09-29,24.5,34.2,1975-09-29
5396,1975-09-30,24.3,35.4,1975-09-30
5397,1975-10-01,24.9,33.8,1975-10-01
5398,1975-10-02,23.2,33.8,1975-10-02
5399,1975-10-03,23.5,34.4,1975-10-03
5400,1975-10-04,25.1,34.4,1975-10-04
5401,1975-10-05,24.0,35.2,1975-10-05
5402,1975-10-06,23.9,35.3,1975-10-06
5403,1975-10-07,24.5,34.9,1975-10-07
5404,1975-10-08,23.6,34.9,1975-10-08
5405,1975-10-09,25.6,33.6,1975-10-09
5406,1975-10-10,25.4,32.4,1975-10-10
5407,1975-10-11,25.4,34.7,1975-10-11
5408,1975-10-12,24.1,34.9,1975-10-12
5409,1975-10-13,25.9,34.3,1975-10-13
5410,1975-10-14,25.6,34.8,1975-10-14
5411,1975-10-15,24.5,34.4,1975-10-15
5412,1975-10-16,22.7,32.5,1975-10-16
5413,1975-10-17,23.5,35.0,1975-10-17
5414,1975-10-18,23.9,34.2,1975-10-18
5415,1975-10-19,23.5,35.2,1975-10-19
5416,1975-10-20,23.9,34.0,1975-10-20
5417,1975-10-21,23.6,32.8,1975-10-21
5418,1975-10-22,23.6,32.8,1975-10-22
5419,1975-10-23,23.5,31.8,1975-10-23
5420,1975-10-24,22.1,33.2,1975-10-24
5421,1975-10-25,21.8,27.6,1975-10-25
5422,1975-10-26,22.7,32.1,1975-10-26
5423,1975-10-27,23.4,32.3,1975-10-27
5424,1975-10-28,23.5,32.3,1975-10-28
5425,1975-10-29,23.3,30.6,1975-10-29
5426,1975-10-30,23.3,32.3,1975-10-30
5427,1975-10-31,23.1,33.5,1975-10-31
5428,1975-11-01,23.0,30.6,1975-11-01
5429,1975-11-02,23.5,30.4,1975-11-02
5430,1975-11-03,23.9,33.0,1975-11-03
5431,1975-11-04,24.6,33.5,1975-11-04
5432,1975-11-05,25.0,33.6,1975-11-05
5433,1975-11-06,24.6,33.5,1975-11-06
5434,1975-11-07,25.1,33.8,1975-11-07
5435,1975-11-08,24.5,35.2,1975-11-08
5436,1975-11-09,24.1,34.9,1975-11-09
5437,1975-11-10,24.6,34.9,1975-11-10
5438,1975-11-11,25.6,33.4,1975-11-11
5439,1975-11-12,24.0,33.3,1975-11-12
5440,1975-11-13,24.0,33.7,1975-11-13
5441,1975-11-14,24.4,33.4,1975-11-14
5442,1975-11-15,23.4,31.6,1975-11-15
5443,1975-11-16,22.7,31.5,1975-11-16
5444,1975-11-17,23.9,33.7,1975-11-17
5445,1975-11-18,23.4,33.6,1975-11-18
5446,1975-11-19,24.7,33.9,1975-11-19
5447,1975-11-20,23.8,28.7,1975-11-20
5448,1975-11-21,23.0,30.9,1975-11-21
5449,1975-11-22,24.1,33.2,1975-11-22
5450,1975-11-23,23.8,30.5,1975-11-23
5451,1975-11-24,23.6,25.5,1975-11-24
5452,1975-11-25,23.6,31.8,1975-11-25
5453,1975-11-26,24.6,33.9,1975-11-26
5454,1975-11-27,22.5,32.8,1975-11-27
5455,1975-11-28,23.0,31.7,1975-11-28
5456,1975-11-29,23.0,30.5,1975-11-29
5457,1975-11-30,24.0,32.0,1975-11-30
5458,1975-12-01,23.0,29.4,1975-12-01
5459,1975-12-02,21.4,29.6,1975-12-02
5460,1975-12-03,23.3,32.2,1975-12-03
5461,1975-12-04,24.7,32.0,1975-12-04
5462,1975-12-05,22.5,32.8,1975-12-05
5463,1975-12-06,24.4,32.5,1975-12-06
5464,1975-12-07,23.0,30.2,1975-12-07
5465,1975-12-08,23.5,30.2,1975-12-08
5466,1975-12-09,23.5,32.9,1975-12-09
5467,1975-12-10,24.0,33.7,1975-12-10
5468,1975-12-11,22.4,31.4,1975-12-11
5469,1975-12-12,23.6,33.3,1975-12-12
5470,1975-12-13,22.6,31.5,1975-12-13
5471,1975-12-14,23.8,32.8,1975-12-14
5472,1975-12-15,24.5,32.4,1975-12-15
5473,1975-12-16,24.4,32.8,1975-12-16
5474,1975-12-17,24.3,26.2,1975-12-17
5475,1975-12-18,23.4,30.8,1975-12-18
5476,1975-12-19,23.7,32.7,1975-12-19
5477,1975-12-20,22.4,31.6,1975-12-20
5478,1975-12-21,24.0,30.3,1975-12-21
5479,1975-12-22,23.3,30.5,1975-12-22
5480,1975-12-23,23.3,30.6,1975-12-23
5481,1975-12-24,22.3,28.7,1975-12-24
5482,1975-12-25,21.4,30.4,1975-12-25
5483,1975-12-26,22.7,31.2,1975-12-26
5484,1975-12-27,23.4,30.6,1975-12-27
5485,1975-12-28,22.3,31.3,1975-12-28
5486,1975-12-29,22.5,27.5,1975-12-29
5487,1975-12-30,21.4,31.0,1975-12-30
5488,1975-12-31,22.7,31.6,1975-12-31
5489,1976-01-01,23.4,28.4,1976-01-01
5490,1976-01-02,23.3,29.1,1976-01-02
5491,1976-01-03,22.4,26.5,1976-01-03
5492,1976-01-04,22.4,26.8,1976-01-04
5493,1976-01-05,21.9,26.8,1976-01-05
5494,1976-01-06,21.4,30.9,1976-01-06
5495,1976-01-07,22.2,29.8,1976-01-07
5496,1976-01-08,22.1,30.0,1976-01-08
5497,1976-01-09,22.4,25.5,1976-01-09
5498,1976-01-10,21.2,29.2,1976-01-10
5499,1976-01-11,22.9,30.2,1976-01-11
5500,1976-01-12,21.2,30.2,1976-01-12
5501,1976-01-13,22.3,33.3,1976-01-13
5502,1976-01-14,22.7,29.4,1976-01-14
5503,1976-01-15,22.0,28.9,1976-01-15
5504,1976-01-16,22.6,30.8,1976-01-16
5505,1976-01-17,24.1,31.0,1976-01-17
5506,1976-01-18,23.0,27.5,1976-01-18
5507,1976-01-19,22.0,27.7,1976-01-19
5508,1976-01-20,23.0,31.5,1976-01-20
5509,1976-01-21,23.4,30.3,1976-01-21
5510,1976-01-22,23.3,28.4,1976-01-22
5511,1976-01-23,23.4,30.7,1976-01-23
5512,1976-01-24,23.6,31.3,1976-01-24
5513,1976-01-25,22.4,32.0,1976-01-25
5514,1976-01-26,23.4,28.0,1976-01-26
5515,1976-01-27,23.7,32.3,1976-01-27
5516,1976-01-28,23.3,26.6,1976-01-28
5517,1976-01-29,21.9,28.2,1976-01-29
5518,1976-01-30,22.9,28.6,1976-01-30
5519,1976-01-31,21.7,29.2,1976-01-31
5520,1976-02-01,22.2,30.3,1976-02-01
5521,1976-02-02,22.6,32.1,1976-02-02
5522,1976-02-03,23.4,31.4,1976-02-03
5523,1976-02-04,24.1,31.5,1976-02-04
5524,1976-02-05,22.6,30.8,1976-02-05
5525,1976-02-06,24.1,32.1,1976-02-06
5526,1976-02-07,21.3,30.2,1976-02-07
5527,1976-02-08,21.1,28.9,1976-02-08
5528,1976-02-09,22.5,31.2,1976-02-09
5529,1976-02-10,23.2,30.1,1976-02-10
5530,1976-02-11,21.2,27.4,1976-02-11
5531,1976-02-12,21.4,32.6,1976-02-12
5532,1976-02-13,23.7,33.1,1976-02-13
5533,1976-02-14,22.5,28.4,1976-02-14
5534,1976-02-15,22.5,30.3,1976-02-15
5535,1976-02-16,22.5,27.9,1976-02-16
5536,1976-02-17,22.6,31.3,1976-02-17
5537,1976-02-18,23.2,31.4,1976-02-18
5538,1976-02-19,24.3,31.3,1976-02-19
5539,1976-02-20,21.4,27.9,1976-02-20
5540,1976-02-21,21.8,25.2,1976-02-21
5541,1976-02-22,22.0,30.5,1976-02-22
5542,1976-02-23,22.3,30.6,1976-02-23
5543,1976-02-24,22.2,28.8,1976-02-24
5544,1976-02-25,22.7,29.5,1976-02-25
5545,1976-02-26,22.0,28.8,1976-02-26
5546,1976-02-27,23.0,27.9,1976-02-27
5547,1976-02-28,22.8,28.8,1976-02-28
5548,1976-02-29,22.8,30.7,1976-02-29
5549,1976-03-01,22.9,31.6,1976-03-01
5550,1976-03-02,24.0,28.8,1976-03-02
5551,1976-03-03,22.8,31.4,1976-03-03
5552,1976-03-04,23.4,31.5,1976-03-04
5553,1976-03-05,22.8,28.9,1976-03-05
5554,1976-03-06,21.7,28.7,1976-03-06
5555,1976-03-07,22.2,30.4,1976-03-07
5556,1976-03-08,21.9,29.2,1976-03-08
5557,1976-03-09,23.6,30.2,1976-03-09
5558,1976-03-10,22.7,26.9,1976-03-10
5559,1976-03-11,23.3,28.9,1976-03-11
5560,1976-03-12,22.8,28.3,1976-03-12
5561,1976-03-13,23.0,29.9,1976-03-13
5562,1976-03-14,23.1,28.9,1976-03-14
5563,1976-03-15,23.6,30.3,1976-03-15
5564,1976-03-16,23.3,29.1,1976-03-16
5565,1976-03-17,23.7,29.6,1976-03-17
5566,1976-03-18,23.0,31.0,1976-03-18
5567,1976-03-19,23.5,31.3,1976-03-19
5568,1976-03-20,22.9,27.0,1976-03-20
5569,1976-03-21,22.3,27.2,1976-03-21
5570,1976-03-22,23.1,29.6,1976-03-22
5571,1976-03-23,22.9,30.7,1976-03-23
5572,1976-03-24,23.5,29.9,1976-03-24
5573,1976-03-25,23.2,27.5,1976-03-25
5574,1976-03-26,22.3,31.1,1976-03-26
5575,1976-03-27,22.0,26.6,1976-03-27
5576,1976-03-28,21.4,28.7,1976-03-28
5577,1976-03-29,22.1,31.2,1976-03-29
5578,1976-03-30,22.4,27.2,1976-03-30
5579,1976-03-31,22.8,30.1,1976-03-31
5580,1976-04-01,23.7,29.6,1976-04-01
5581,1976-04-02,23.4,31.2,1976-04-02
5582,1976-04-03,22.8,29.6,1976-04-03
5583,1976-04-04,24.1,29.9,1976-04-04
5584,1976-04-05,23.4,27.6,1976-04-05
5585,1976-04-06,23.4,31.4,1976-04-06
5586,1976-04-07,24.8,32.0,1976-04-07
5587,1976-04-08,23.2,32.6,1976-04-08
5588,1976-04-09,23.7,33.0,1976-04-09
5589,1976-04-10,25.8,31.3,1976-04-10
5590,1976-04-11,24.4,31.5,1976-04-11
5591,1976-04-12,23.3,27.6,1976-04-12
5592,1976-04-13,23.2,28.1,1976-04-13
5593,1976-04-14,22.4,30.9,1976-04-14
5594,1976-04-15,23.3,28.8,1976-04-15
5595,1976-04-16,22.0,26.9,1976-04-16
5596,1976-04-17,22.9,30.3,1976-04-17
5597,1976-04-18,23.3,31.2,1976-04-18
5598,1976-04-19,23.3,30.6,1976-04-19
5599,1976-04-20,23.3,29.9,1976-04-20
5600,1976-04-21,23.6,32.0,1976-04-21
5601,1976-04-22,23.5,31.5,1976-04-22
5602,1976-04-23,22.2,26.3,1976-04-23
5603,1976-04-24,22.5,30.1,1976-04-24
5604,1976-04-25,23.7,29.3,1976-04-25
5605,1976-04-26,21.8,26.9,1976-04-26
5606,1976-04-27,23.7,26.8,1976-04-27
5607,1976-04-28,23.7,30.4,1976-04-28
5608,1976-04-29,23.2,28.6,1976-04-29
5609,1976-04-30,23.1,29.5,1976-04-30
5610,1976-05-01,22.6,29.6,1976-05-01
5611,1976-05-02,23.5,32.0,1976-05-02
5612,1976-05-03,22.6,30.6,1976-05-03
5613,1976-05-04,23.0,27.6,1976-05-04
5614,1976-05-05,22.7,29.8,1976-05-05
5615,1976-05-06,24.0,31.5,1976-05-06
5616,1976-05-07,24.7,30.8,1976-05-07
5617,1976-05-08,24.2,31.3,1976-05-08
5618,1976-05-09,23.4,31.3,1976-05-09
5619,1976-05-10,24.5,32.4,1976-05-10
5620,1976-05-11,24.0,31.9,1976-05-11
5621,1976-05-12,23.4,30.4,1976-05-12
5622,1976-05-13,24.7,30.4,1976-05-13
5623,1976-05-14,22.4,29.0,1976-05-14
5624,1976-05-15,23.7,30.4,1976-05-15
5625,1976-05-16,22.5,31.7,1976-05-16
5626,1976-05-17,24.6,30.8,1976-05-17
5627,1976-05-18,23.9,31.3,1976-05-18
5628,1976-05-19,23.3,32.1,1976-05-19
5629,1976-05-20,22.4,32.2,1976-05-20
5630,1976-05-21,24.1,32.0,1976-05-21
5631,1976-05-22,23.4,30.0,1976-05-22
5632,1976-05-23,23.6,30.2,1976-05-23
5633,1976-05-24,23.9,31.6,1976-05-24
5634,1976-05-25,23.4,31.7,1976-05-25
5635,1976-05-26,24.0,30.4,1976-05-26
5636,1976-05-27,22.6,30.9,1976-05-27
5637,1976-05-28,23.5,30.0,1976-05-28
5638,1976-05-29,23.5,31.8,1976-05-29
5639,1976-05-30,24.1,29.4,1976-05-30
5640,1976-05-31,23.1,30.6,1976-05-31
5641,1976-06-01,23.0,30.6,1976-06-01
5642,1976-06-02,23.5,32.0,1976-06-02
5643,1976-06-03,23.5,31.7,1976-06-03
5644,1976-06-04,23.5,30.9,1976-06-04
5645,1976-06-05,22.9,31.8,1976-06-05
5646,1976-06-06,23.5,32.7,1976-06-06
5647,1976-06-07,22.4,31.1,1976-06-07
5648,1976-06-08,23.3,30.5,1976-06-08
5649,1976-06-09,21.9,32.0,1976-06-09
5650,1976-06-10,23.1,28.3,1976-06-10
5651,1976-06-11,23.0,29.7,1976-06-11
5652,1976-06-12,23.4,30.0,1976-06-12
5653,1976-06-13,23.0,29.9,1976-06-13
5654,1976-06-14,23.2,30.9,1976-06-14
5655,1976-06-15,23.9,31.2,1976-06-15
5656,1976-06-16,23.6,31.3,1976-06-16
5657,1976-06-17,23.0,31.0,1976-06-17
5658,1976-06-18,23.1,31.0,1976-06-18
5659,1976-06-19,23.1,31.2,1976-06-19
5660,1976-06-20,23.4,31.0,1976-06-20
5661,1976-06-21,22.0,28.7,1976-06-21
5662,1976-06-22,23.0,29.4,1976-06-22
5663,1976-06-23,22.3,31.2,1976-06-23
5664,1976-06-24,22.6,31.3,1976-06-24
5665,1976-06-25,23.4,31.3,1976-06-25
5666,1976-06-26,23.9,31.6,1976-06-26
5667,1976-06-27,24.1,32.6,1976-06-27
5668,1976-06-28,23.4,32.0,1976-06-28
5669,1976-06-29,23.0,31.0,1976-06-29
5670,1976-06-30,23.9,31.3,1976-06-30
5671,1976-07-01,23.4,28.0,1976-07-01
5672,1976-07-02,23.0,29.7,1976-07-02
5673,1976-07-03,23.0,27.5,1976-07-03
5674,1976-07-04,23.0,31.0,1976-07-04
5675,1976-07-05,22.9,31.1,1976-07-05
5676,1976-07-06,22.1,31.1,1976-07-06
5677,1976-07-07,22.5,32.1,1976-07-07
5678,1976-07-08,23.2,31.0,1976-07-08
5679,1976-07-09,23.6,30.0,1976-07-09
5680,1976-07-10,22.7,31.6,1976-07-10
5681,1976-07-11,23.9,28.8,1976-07-11
5682,1976-07-12,22.5,27.4,1976-07-12
5683,1976-07-13,22.0,35.0,1976-07-13
5684,1976-07-14,23.4,35.1,1976-07-14
5685,1976-07-15,22.0,31.5,1976-07-15
5686,1976-07-16,22.7,32.7,1976-07-16
5687,1976-07-17,23.3,32.6,1976-07-17
5688,1976-07-18,23.5,32.3,1976-07-18
5689,1976-07-19,22.2,32.7,1976-07-19
5690,1976-07-20,22.5,32.0,1976-07-20
5691,1976-07-21,22.6,31.8,1976-07-21
5692,1976-07-22,24.0,32.3,1976-07-22
5693,1976-07-23,22.8,33.0,1976-07-23
5694,1976-07-24,23.4,32.1,1976-07-24
5695,1976-07-25,22.6,32.5,1976-07-25
5696,1976-07-26,22.9,33.3,1976-07-26
5697,1976-07-27,23.4,34.0,1976-07-27
5698,1976-07-28,22.5,33.0,1976-07-28
5699,1976-07-29,22.0,32.6,1976-07-29
5700,1976-07-30,23.2,33.6,1976-07-30
5701,1976-07-31,23.4,33.6,1976-07-31
5702,1976-08-01,23.9,32.6,1976-08-01
5703,1976-08-02,23.3,32.3,1976-08-02
5704,1976-08-03,22.8,32.2,1976-08-03
5705,1976-08-04,23.0,33.6,1976-08-04
5706,1976-08-05,23.1,33.8,1976-08-05
5707,1976-08-06,23.5,33.7,1976-08-06
5708,1976-08-07,23.6,33.4,1976-08-07
5709,1976-08-08,23.5,33.6,1976-08-08
5710,1976-08-09,25.5,34.1,1976-08-09
5711,1976-08-10,24.9,33.8,1976-08-10
5712,1976-08-11,23.4,35.1,1976-08-11
5713,1976-08-12,22.2,35.1,1976-08-12
5714,1976-08-13,23.2,35.2,1976-08-13
5715,1976-08-14,25.0,34.8,1976-08-14
5716,1976-08-15,24.0,33.9,1976-08-15
5717,1976-08-16,24.0,33.4,1976-08-16
5718,1976-08-17,23.9,33.0,1976-08-17
5719,1976-08-18,23.9,34.7,1976-08-18
5720,1976-08-19,24.2,37.6,1976-08-19
5721,1976-08-20,24.1,34.6,1976-08-20
5722,1976-08-21,24.4,34.1,1976-08-21
5723,1976-08-22,23.5,30.3,1976-08-22
5724,1976-08-23,22.6,29.4,1976-08-23
5725,1976-08-24,22.3,27.3,1976-08-24
5726,1976-08-25,22.2,31.9,1976-08-25
5727,1976-08-26,23.5,33.0,1976-08-26
5728,1976-08-27,22.6,32.7,1976-08-27
5729,1976-08-28,24.0,34.2,1976-08-28
5730,1976-08-29,24.2,33.3,1976-08-29
5731,1976-08-30,23.5,33.4,1976-08-30
5732,1976-08-31,24.2,33.6,1976-08-31
5733,1976-09-01,23.6,33.7,1976-09-01
5734,1976-09-02,24.3,34.0,1976-09-02
5735,1976-09-03,24.2,34.4,1976-09-03
5736,1976-09-04,24.7,32.8,1976-09-04
5737,1976-09-05,23.0,33.4,1976-09-05
5738,1976-09-06,24.5,34.0,1976-09-06
5739,1976-09-07,24.9,32.8,1976-09-07
5740,1976-09-08,24.2,33.6,1976-09-08
5741,1976-09-09,23.4,33.3,1976-09-09
5742,1976-09-10,24.4,34.2,1976-09-10
5743,1976-09-11,24.6,34.6,1976-09-11
5744,1976-09-12,23.2,34.6,1976-09-12
5745,1976-09-13,24.6,35.0,1976-09-13
5746,1976-09-14,24.4,35.1,1976-09-14
5747,1976-09-15,23.7,34.9,1976-09-15
5748,1976-09-16,24.7,35.3,1976-09-16
5749,1976-09-17,25.9,34.2,1976-09-17
5750,1976-09-18,24.4,34.4,1976-09-18
5751,1976-09-19,25.6,35.1,1976-09-19
5752,1976-09-20,24.3,33.8,1976-09-20
5753,1976-09-21,24.6,34.7,1976-09-21
5754,1976-09-22,24.7,33.1,1976-09-22
5755,1976-09-23,23.9,36.2,1976-09-23
5756,1976-09-24,24.6,36.3,1976-09-24
5757,1976-09-25,25.0,34.4,1976-09-25
5758,1976-09-26,23.7,35.5,1976-09-26
5759,1976-09-27,25.4,33.3,1976-09-27
5760,1976-09-28,25.3,35.8,1976-09-28
5761,1976-09-29,24.2,34.0,1976-09-29
5762,1976-09-30,25.9,34.9,1976-09-30
5763,1976-10-01,24.4,33.0,1976-10-01
5764,1976-10-02,23.8,32.5,1976-10-02
5765,1976-10-03,24.4,34.0,1976-10-03
5766,1976-10-04,23.7,34.3,1976-10-04
5767,1976-10-05,24.2,34.6,1976-10-05
5768,1976-10-06,25.6,34.2,1976-10-06
5769,1976-10-07,24.5,32.7,1976-10-07
5770,1976-10-08,25.4,34.1,1976-10-08
5771,1976-10-09,24.6,33.1,1976-10-09
5772,1976-10-10,25.7,34.2,1976-10-10
5773,1976-10-11,25.6,31.6,1976-10-11
5774,1976-10-12,25.2,33.8,1976-10-12
5775,1976-10-13,23.5,33.5,1976-10-13
5776,1976-10-14,24.9,34.4,1976-10-14
